Title,Cleaned_Description
Rumble Fighter: Unleashed,"Rumble Fighter는 실제 혼합 무술과 빠르게 진행되는 Beat-Em-Up 액션으로 무료로 전투하는 MMO 게임입니다! 친구들과 싸우고 훈련하여 최고의 럼블 전투기가 되십시오! 오래 전에, 어둠의 군주는 신들과 평화 조약을 깨뜨 렸고, 그의 어두운 군대에게 의심의 여지가없는 럼블 전투기를 정복하도록 명령했다. 취약한 럼블 전투기 세계는 거의 즉시 어두운 세력에 의해 인수되었습니다. 모든 희망이 잃어 버렸을 때 기적이 일어났습니다! 신들이 선택한 강력한 영웅들은 어둠의 세력을 방어하기 위해 도착했습니다. 어두운 세력과 영웅들 사이의 격렬한 싸움은 너무 오랫동안 계속해서 끝나지 않을 것 같았습니다. 그러나 영웅들이 우세하고 마침내 어둠의 군주를 봉인했습니다. 평화는 마침내 럼블 전투기 세계로 돌아갈 것입니다. 그러나 위대한 영웅들은 평화를 즐길 시간이 없었습니다. 전투 후 흩어진 어두운 세력은 적극적으로 인감을 깨고 어둠의 군주를 구출하려고 시도하고 있습니다. 따라서 영웅들은 여전히 ​​럼블 전투기 세계를 위해 싸우고 있습니다. 영웅들은 ""Guardians""라는 협회 아래에서 함께 연합했습니다. 모든 회원은 매일 어두운 세력을 훈련하고 사냥하는 데 헌신합니다."
Therian Saga,"Therian Saga는 영웅이 진화 할 세상을 정의하는 거대한 수학적 규칙 세트로 둘러싸인 설득력있는 스토리 텔링을 제공함으로써 군중에서 눈에 띄는 MMORPG입니다. 구식 진흙 게임, 전략 게임 및 탁상용 RPG에서 요소를 빌릴 수 있다고 말할 수 있습니다. 게임에서 기대할 수있는 것 : 스킬 기반 : 우리는 당신의 영웅, 도구, 동반자, 위치 및 마법을 기반으로 한 시스템을 사용하여 액션을 실행할 수있는 능력을 계산합니다. 샌드 박스 : 게임 진행 방법을 이해하는 것은 당신에게 달려 있습니다. 스토리 텔링 : 스토리 텔링의 주요 매체로 텍스트가있는 구식 스타일. 공예 : 복잡한 재료에서 최종 제품까지 기술 분포 정비사. 거대한 :이 게임은 2012 년부터 온라인 상태이며 현재 수년간의 콘텐츠를 사용할 수 있습니다. 비동기식 : 15 분 또는 20 시간을 좋아하는 금액을 재생하고 영웅의 행동을 프로그래밍하십시오. 그는 당신이 자거나 파티 또는 일할 때 그들을 할 것입니다. 인시 : 게임은 플레이어에게 거칠다. 목표를 달성하기 위해 열심히 노력해야합니다. DEVS : 우리는 선수들과 가깝고 게임의 미래에 대해 우리와 함께 논의 할 수 있습니다. 비동기 게임이 단순한 게임이어야한다는 편견을 깨뜨리기 위해 비동기식이 시원하게 만들었습니다. 그것은 우리에게 정말로 중요했습니다. 우리는 사람들이 라이브 MMO보다 시간을 덜 쓸 수있는 게임을 원했지만 온라인마다 더 많은 것을 제공 할 수있었습니다. 당신의 캐릭터는 오프라인 상태에있는 동안 작동하지만 다음에 로그인 할 때 무엇을할지 생각할 것입니다. 시간이 많이 걸리지 않는 게임이 많이 있습니다. RPG 게임 플레이에 더 깊이 들어가는 비동기 게임을 구축했습니다. 그것은 싸우는 가치가있는 전투였습니다. Therian Saga의 전형적인 날은 원하는 방식으로 게임을 할 수 있습니다. 게임에는 컴퓨터에 머물러야하는 상황이 없습니다. 싸움의 중간에도 던전 한가운데서 그만 둘 수 있고 다음날 돌아와서 떠난 곳을 데리러 올 수 있습니다. 다른 플레이어와의 싸움 중에 그만두면, 캐릭터는 오프라인 상태에있는 동안 가능한 한 계속 싸울 것입니다. 전형적인 날은 어떻습니까? 예를 들어, 하루 동안 짧은 재생 세션 만 관리 할 수 ​​있다고 가정 해 봅시다. 아침에 영웅의 작업을 예약 한 다음 점심 시간에 모든 것이 정상인지 확인하고 일부 거래 및 사회 활동에 빠질 수 있습니다. 저녁에는 시간이 조금 더 걸리면 퀘스트, 모험, 던전을 타는 것, 경기장의 다른 플레이어와의 싸움, 심지어 보스 런 등 많은 ""라이브 게임 플레이""옵션이 있습니다. 플레이 세션이 끝나면 영웅에게 잠을 자거나 밤에 일을 계속하도록 요청할 수 있습니다. 일반적인 플레이 세션 중 하나를 놓친 경우, 영웅들은 일반적으로 어쨌든 계속 진화 할 수있는 충분한 과제를 남겼습니다. 이제는 많은 유연성을 제공하며 볼 수 있듯이 게임은 비동기식을 넘어서 많은 라이브 게임 플레이 가능성을 제공합니다."
100 New Year Cats,"🍾🥂🐾 새해 100일을 맞이하여 - 최고의 숨은그림찾기 게임! 🌲🎆🥳 고양이로 가득한 새해의 가장 귀여운 모험에 동참하세요! 게임 곳곳에 숨겨진 100마리의 사랑스러운 고양이를 찾기 위한 탐험을 시작하면서 새해 테마의 매력적인 손으로 그린 아트워크를 탐험하세요. 이 아늑하고 유쾌한 숨은 그림 찾기 게임에서 주의력과 관찰력을 시험해 보세요. 각 고양이는 이전보다 더 매력적이며, 발견할 때마다 얼굴에 미소가 번집니다. 🐈🕵️‍♂️ 모두 찾을 수 있나요? 🕵️‍♂️🐈 ⚙️ 주요 기능 ⚙️ 🌈 컬러 모드 🏴 흑백 모드 🎮 1 레벨 🐈 숨겨진 고양이 100마리 🎮 1 추가 레벨 🐈 숨겨진 고양이 100마리 추가 🎵 멋진 사운드트랙 🎨 고품질 해상도 아트웍 🌗 밝기 설정 💾 진행 상황 저장 🔍 줌 😺 실제 야옹 소리! 💥 콤보 카운터! 💡 힌트"
Practisim Designer,"Practisim Designer는 신진 또는 전문 스테이지 디자이너를위한 샌드 박스로 USPSA, IPSC, Steel Challenge, IDPA 및 기타와 같은 실제 촬영 스포츠를위한 혁신적인 무대 디자인을 만들 수 있습니다. 이 도구를 사용하면 수백 개의 항목 라이브러리에서 소품을 삭제할 수 있습니다. 스테이지 디자이너는 스윙 어, 드롭 터너, 텍사스 스타 등과 같은 실제 물리 기반 메커니즘을 지원하여 실제로 무대를 통해 실행되는 것을 시뮬레이션 할 수 있습니다. Stage Design을 완료하면 PDF 형식으로 Match Ready Stage 브리핑 문서로 내보낼 수 있습니다."
Dear Esther: Landmark Edition,"'황량한 섬 ... 잃어버린 남자 ... 치명적인 사고에 대한 추억 ... 죽어가는 탐험가가 쓴 책.' 에스더에게 친애하는 Esther는 외부 헤브리드 어딘가에있는 외딴 황량한 섬인 놀랍도록 실현 된 세계에 당신을 몰입시킵니다. 앞으로 나아갈 때, 목소리는 편지 조각을 읽기 시작합니다. 순수한 스토리 중심의 경험을 위해 전통적인 게임 플레이를 포기한 Esther는 사랑, 상실, 죄책감 및 구속에 대한 강력한 이야기를 들려주는 숨막히는 사운드 트랙으로 아름다운 환경을 융합시킵니다. 주요 기능 : 무작위로 생성 된 오디오, 비주얼 및 이벤트와 함께 모든 플레이 스루 독특한 경험. 유령의 섬과 신비한 과거에 당신을 완전히 몰입하는 놀라운 환경을 탐색하십시오. 이전에 게임에서 경험 한 적이없는 것처럼 시적이고 반 랜덤 화 된 이야기. 세계적 수준의 음악가들이 등장하는 Jessica Curry가 작곡 한 멋진 사운드 트랙. 타협하지 않고 독창적 인 게임이 최고 AAA 표준으로 제공됩니다. Dear Esther : Landmark Edition은 전체 오디오 리마스터와 새로운 감독의 해설 모드가 추가되어 유니티 엔진으로 재건되어있어 플레이어가 섬을 탐험하고 중국 방과 Rob Briscoe가 게임에 영감을 준 것과 어떻게 만들어 졌는지 배울 수 있습니다."
IMPACT,"충격 - 달로의 여행이 여기에서 시작됩니다! 몰입 형 자신의 달 기반을 구축하고 관리하여 유럽 우주국 (ESA)이 사용하는 귀중한 과학 데이터를 생성하여 언젠가 달에 착륙 할 실제 AI를 훈련시킵니다. 당신의 결정이 음력 탐사의 미래에 어떻게 직접적으로 영향을 미치는지 경험하십시오! 주요 특징 : lunar base 건축 : 최신 음력 식민지를 건설하십시오. 태양 광 발전소와 거실에서 연구 실험실에 이르기까지 - 달에서 생존하고 번성하는 데 필요한 인프라를 계획하고 구축하십시오. the 신기술 탐색 : 달의 가혹한 조건을 극복 할 수 있도록 획기적인 기술을 발견하고 개발하십시오. 이러한 기술을 사용하여 기본을 향상시키고 달 탐색을위한 새로운 기회를 잠금 해제하십시오. 🌌 외계의 도전을 극복하십시오 : 달의 독특한 도전에 직면하십시오. 유성 폭풍, 문 파크 또는 기타 우주 위험이든, 기지와 승무원을 보호하기 위해 항상 한 발 앞서 있어야합니다. 🔍 과학 데이터 생성 : 기본을 구축하고 확장 할 때 달에 대한 귀중한 데이터가 생성됩니다. 이 데이터는 ESA에 의해 미래의 음력 착륙의 안전성과 효율성을 향상시키는 AI를 훈련시키는 데 사용됩니다. 🌟 음력 연구의 미래를 형성하십시오 : 영향에 대한 귀하의 행동과 결정은 실제 우주 연구에 직접적인 결과를 초래합니다. 차세대 우주 임무와 달의 탐험 및 식민지를위한 길을 닦는 데 도움이됩니다. 🎮 독특한 게임 플레이 경험 : Impact는 도전적인 게임 플레이를 깊은 이야기와 결합합니다. 승무원의 여정, 승리 및 좌절을 경험하고 서사시 사명의 일부처럼 느껴집니다. the 글로벌 커뮤니티에 가입하십시오 : 전 세계 플레이어와 연결하고, 업적을 공유하며, 달의 탐험에 대해 협력하십시오. 당신의 기여는 진정한 차이를 만들 수 있습니다! 왜 영향을 미치는가? 영향은 단순한 게임이 아니라 미션입니다. 영향을 미침으로써, 당신은 미래의 달 사명을보다 안전하고 효율적으로 만드는 데이터 수집에 적극적으로 기여합니다. 우주 탐사의 흥분을 경험하고 복잡한 도전을 마스터하고 달에 대한 우리의 지식의 경계를 넓힐 글로벌 프로젝트의 일부가됩니다. 충격에 가입하고 달로의 여행을 시작하십시오. 당신의 모험이 기다리고 있습니다 - 그리고 음력 연구의 미래는 당신의 손에 있습니다!"
FUCK STALIN,FUCK STALIN에서 당신의 임무는 요셉 스탈린을 고문하고 가능한 많은 점수를 획득하는 것입니다. 다양한 블록과 무기를 사용하여 이를 수행할 수 있습니다. 게임플레이 게임에서는 자신만의 고문 구조물을 만들고 무수한 수의 스탈린을 생성하며 총기와 흰 무기로 그에게 고통을 가하면서 점수를 얻을 수 있습니다. 순위표 게임에서 얻은 모든 점수는 더해져 전 세계 리더보드에 기록됩니다. 아마도 당신이 그 중 상단에 올라갈지도 모릅니다! 사진 모드 고급 사진 모드를 사용하여 언제든지 게임을 중지하고 완벽한 샷을 찍어 커뮤니티와 공유할 수 있습니다. STEAM 창작마당 게임은 완전한 Steam 창작마당 지원을 갖추고 있습니다. 커뮤니티에서 만든 지도를 다운로드하거나 자신의 창작물을 추가할 수 있습니다.
Horse Farm,"Horse Farm - 자신만의 라이딩 마구간을 만드십시오. 승마 애호가를위한 유쾌한 말 게임 인 Horse Farm에 매료되도록하십시오! 자신의 말 목장을 만들고, 아름다운 말을 지키고, 멍청한 친구를 애지중지하고, 손님에게 잊을 수없는 휴가를주십시오! 다수의 말 품종과 흥미로운 도전은 마구간, 헛간 및 롯지를 만듭니다. 리벳을 타는 말 게임 작업을 완료하고 요리 진미와 다양한 말 관련 여가 활동으로 말 농장의 손님을 애지중지하십시오. Appaloosas 및 Quarter Horses에서 Shetland Ponies, Arabians, Hanoverian 등에 이르기까지 모든 종류의 다른 말을 유지할 수 있습니다. 다른 품종을 교배하고 부모로부터 특별한 능력과 외모를 물려받은 새끼를 얻습니다. Horse Farm은 게임 경험을 사용자 정의 할 수있는 수많은 기회가있는 독특한 게임 설정을 제공합니다. 자신만의 라이딩 아카데미를 구축 할 때 풍부하고 아름답게 디자인 된 월드 경마 게임을 탐험하십시오. 첫 번째 안정을 만들고 첫 번째 말을 구입하여 시작합니다. 그러나 곧 당신은 훨씬 더 많은 일을 할 것이며, 편안한 숙소, 맛있는 음식을 제공하며, 매일 매일 마구간에서 돈을 벌어서 말 목장에 손님을 끌어들일 것입니다. Horse Farm의 멋진 기능 배열에는 다음이 포함됩니다. 말과 말 애호가 모두를위한 하늘의 피난처를 만들고, 조심스럽고 근면하여 말 농장을 관리하십시오. 자신의 목장을위한 말을 얻으십시오! 말 농장은 온라인에서만 플레이 할 수 있습니다. 기존 브라우저 게임 또는 앱 계정은 Steam에 연결할 수 없습니다."
Wild Terra Online,"와일드테라(Wild Terra) 는 MMO 장르로써 중세의 세계를 완벽하게 플레이어 주도 하에 생생하게 경험할 수 있습니다. 여기에서는 모두가 자신의 영혼이 갈망하는 직업을 발견 할 것입니다. 세계를 탐험하고, 사냥하고, 제작하고, 집을 꾸미고, 전투와 공성전등. 생존자로 시작하여 심지어 왕까지 될수 있습니다! 핵심 기능들: 중세 유럽 풍의 거대한 오픈 월드와 탐험 게임에서 사전 제작 된 성이나 마을, NPC 및 퀘스트가 없습니다. 오직 플레이어3들이 도로를 만들고 숲을 베어 내며 새로운 도시를 건설할 수 있습니다. 원하는대로 서버를 가꾸고 만들 수 있습니다!"
Wild Ones Battle Stadium,"Wild Ones Battle Stadium은 전략과 행동의 요소를 결합한 온라인 아케이드 스타일 게임입니다. 이 게임에서 플레이어는 다양한 의인화 동물을 제어하며, 각각의 정교한 무기와 독특한 능력이 장착되어 있습니다. 주요 목표는 발사체와 교활한 전술을 사용하여 상대를 제거하면서 역동적이고 장애물로 가득 찬 환경을 탐색하는 것입니다. 이 게임은 열대 섬에서 얼음 빙하에 이르기까지 일련의 생생하고 다양한 시나리오에서 발생하며, 각각 고유 한 특성과 도전이 있습니다. 플레이어는 적의 공격을 피하고 전략적으로 반격을 위해 스스로 자리 매김하면서 점프 및 움직임 기술을 사용하여 이러한 환경을 이동할 수 있습니다. Wild Ones Battle Stadium은 플레이어가 전투, 수입 포인트, 동전 및 경험에서 동물을 제어하는 ​​턴 기반 2D 게임입니다. 장비 및 애완 동물로 사용자 정의하고 클랜에 가입하며 Battle Royale과 같은 모드로 경쟁하십시오. 강렬한 멀티 플레이어 액션, 매일 보상 및 친구와의 사회 시스템을 즐기십시오."
Bakso Simulator,"Bakso는 인도네시아 미트볼입니다. Bakso라는 단어는 단일 미트볼 또는 미트볼 수프의 완전한 요리를 언급 할 수 있습니다. 자신의 Bakso 레스토랑을 꿈꾸는 적이 있습니까? 더 이상 꿈을 꾸지 마십시오. 이제 Bakso 시뮬레이터로 모든 것을 할 수 있기 때문입니다! 이 세상에서, 당신은 오랜 친구와 함께 자신의 Bakso 레스토랑을 소유하고 있으며, 퀘스트를 수행하고 마을의 모든 비밀을 밝혀서 마을 사람들을 도와 줄 것입니다! 비즈니스를 구축하십시오! 비즈니스 업그레이드! 그리고 비즈니스를 보호하십시오! 특징 : - 자신만의 Bakso 레스토랑 만들기 - 도시에서 상호 작용할 많은 캐릭터 - 도시에 대한 흥미로운 이야기를 따르십시오 - 일이 끝났습니까? 집으로 돌아가서 잠을 자고 원하는대로 집을 디자인하는 것을 잊지 마십시오. 직원에게 지불하는 것을 잊지 마십시오 - 파리, 도둑 및 유령으로부터 Bakso를 보호하십시오 - 도시를 탐험하십시오! 그리고 가장 중요한 것은 돈을 모아서 Bakso 레스토랑을 세계에서 최고로 만드십시오!"
Box Clicker,📦 Box Clicker는 상자를 깨서 더 많은 상자를 얻는 게임입니다. 그리고 이것은 단지 시작에 불과합니다!
Mountaincore,"Mountaincore는 심하게 시뮬레이션 된 판타지 세계에서 급성장하는 식민지를 설계하고 구축하는 게임입니다. 현재의 기능은 7 명의 드워프로 시작하지만 게임 플레이에 큰 영향을 미치는 날씨와 계절이 변하는 시뮬레이션 된 세상을 구축하고 지원할 수 있습니다. 정착민 중 한 명은 자신의 요구와 욕구를 갖기 위해 자신의 요구와 욕구를 충족시키기 위해 충족시키기 위해 함께 일할 수 있으므로 자연스러운 자원을 사용하지 않고 더 나은 자원을 통해 더 나은 체인을 통해 더 나은 체인을 묶고 더 나은 도구를 묶고 더 나은 도구를 향상시키고, 더 나은 도구를 높이고, 더 나은 도구를 향상시키고, 더 나은 도구를 높이고, 더 나은 도구를 향상시키고, 더 나은 자원을 높이고, 더 나은 자원을 높이고, 더 나은 도구를 향상시킬 수 있습니다. 군대를 몬스터와 침략자들과 싸우도록 훈련 시키거나 평화로운 모드로 플레이하여 편안한 도시 빌더 경험 트위치 통합 (정착민의 시청자 이름 사용)을 사용하여 스트림 청중 상호 작용 ""모드 최초""을 장려 하여이 게임의 개발자로서 모든 것이 오픈 소스로 출시되도록 결정하고 또한 매우 공개적으로 출시되기로 결정했습니다. 우리는 당신이 즐기기를 바랍니다! 이 게임은 Steam Deck에서 작동합니다. 실제로 우리는 그것이 완전한 호환성을 얻을 수 있다고 생각하지만 공식 Steam Deck 호환성 검토를 위해 Valve를 기다리고 있습니다."
ダンジョン人狼,이 던전에서 살아남을 수 있습니까 ...! 마을을 구할 비밀 보물을 찾으십시오! ! 20 명이 서로 대결하고 60 가지가 넘는 역할을 할 수 있습니다! 당신의 숨겨진 능력은 이제 깨어났습니다! ! ■ 60 가지 이상의 위치! ! 숨겨진 능력을 사용하여 팀이 승리로 이끌어주십시오!
IronWolf: Free Non-VR Edition,"Ironwolf는 원래 VR을 위해 처음부터 설계되었으며 모든 사람에게 무료로 제공되는 독립형 비 VR 버전을 만들게되어 기쁩니다. 이 무료 버전에는 원래 Ironwolf VR의 모든 임무와 무작위로 생성 된 임무가 포함되어 있지만 맵 기반 오픈 월드 게임 플레이, 잠수함 업그레이드 또는 리더 보드는 포함되지 않습니다. VR 에서이 경험을 원하거나 OpenWorld 게임 플레이 및 기타 기능을 즐기고 싶다면 Ironwolf VR을 확인하십시오. 대공포를 사용하여 적의 배에서 어뢰를 풀고 전투기와 폭격기를 격추하고 치명적인 구축함에 의해 떨어진 깊이 충전에서 살아남 으려고 시도합니다. .50 CAL 기관총으로 적의 매출을 사냥하여 적의 판매자 호송대, 프리깃 및 전함 싱글 및 멀티 플레이어 협동 온라인 멀티 플레이어 플레이가 요구 사항을 지원하여 요구 사항에 도움을 주면"
Pizzeria,"피자 가리비에서 모든 탭은 최고의 피자 감정가가되기 위해 더 가까워집니다! 이 중독성 클릭 커 게임에서 목표는 간단합니다. 가능한 한 많은 피자를 삼으십시오. 화면의 각 탭은 슬라이스를 소비하여 갈망을 만족시키고 진행 상황을 향상시킵니다. 다양한 업그레이드를 통해 게임 플레이를 자동화하고 피자를 먹는 여행을 향상시킬 수 있습니다. 피자 컬렉션을 확장하기 위해 3 시간마다 무작위 드롭을받을 수 있습니다! 특징 : 슬라이스별로 삼키기 : 탭하여 슬라이스를 먹고 피자를 먹는 모험을 발전시킵니다. 특수 아이템 드롭 : 게임 플레이에 풍미를 더하는 독특한 아이템 드롭으로 놀라움을 발견하십시오. 모두 수집 할 수 있습니까? 생생한 불화 커뮤니티 : 플레이어가 팁, 전략을 공유하고 업적을 축하하는 곳에서 활기찬에 참여하십시오. 정기적 인 이벤트 및 독점 항목 드롭에 참여하십시오! 최고의 피자 탐험가가 되십시오 : 제목을 청구 할 준비가 되셨습니까? 지금 두드리기 시작하고 맛있는 잔치를 시작하십시오! 오늘 Pizzeria에 가입하여 진정한 피자 애호가가되는 스릴을 경험하십시오! 친구의 점수를 이길 것인가?"
Ecto,"Ecto는 부드럽고 중독성있는 움직임을 특징으로하는 고도로 랜덤 화 된 자연 세계입니다. 친구 나 솔로와 함께 화려하고 자연에서 영감을 얻은 떠 다니는 섬을 뛰어 다니십시오. 장신구를 집어 들고, 스틱 총을 사고, 업그레이드하고, 개구리와 어울리고, 지하 세계에서 로봇과 싸우십시오. 로드맵 : [X]는 Ecto (2022 년 10 월) [X] 프로토 타입 버전 1.0 (2023 년 10 월 6 일) [X] 프로토 타입 버전 2.0 (1 월 12 일 [X] 프로토 타입 버전 3.0 (4 월 4 일 2024 년 4 월 4 일) [X] 전 사후 1.0 | BOSS 및 PRASTRESSION 릴리스 (11 월 11 일) [x] [X] / Scavenger Hunt Update (2025 년 3 월 13 일) [] Beta [] Full Release DisclaiMer : Ecto는 여전히 프로토 타입으로 인해 게임 플레이 기초를 잠그는 것입니다."
TRY AGAIN,"당신은 수은의 보이지 않는 디자이너가 노후화 한 디자이너에 의한 노후화 위기에 시달리고 마감일을 맞이하기 위해 몸을 굽히는 것처럼 테스트 일이 끝나는 것처럼 보이는 비디오 게임 캐릭터 인 Benny로 플레이합니다. 벙커와 같은 테스트 시설에 설정되어있어 도전적인 플랫폼, 빠르게 진행되는 퍼즐 및 불안한 디자이너의 변덕에 의해 지시 된 끊임없이 변화하는 시설을 조절해야합니다. 시간이 지남에 따라 회색 박스의 개발 미로를 탐색하고 캐릭터 진행의 규범을 넓히고 Benny는 게임의 리드 캐릭터로 자신의 자리를 굳히는 것을 챔피언합니다. 당신의 임무는이 빠르게 진행되는 2.5D 플랫 포머에서 생존 이상입니다. 당신은 ""임시""상태에서 테스트 문자로서 벗어나려고 노력하고 있습니다. 당신이 항상 원하는 제목을 청구하십시오 - 주인공. 게임 플레이를 마스터하고 규칙을 이용하며 이야기의 통제를 포착하십시오. 그러나 이것은 단지 승리에 관한 것이 아닙니다. 그것은 베니를 깨는 것에 관한 것입니다. 코딩 된 존재의 한계에 도전하고 사전 결정된 결과의 사슬을 깨뜨립니다. 이것은 다시 시도하는 것이 무엇을 의미하는지 재정의 할 수있는 기회입니다."
Godsbane Idle,"Godsbane Idle은 Exile의 Path of Exile과 같은 게임에 대한 신선한 유휴 상태입니다. 그것은 강력한 전리품의 사냥과 유휴 시스템과 결합하여 시간이 짧아도 진행 상황을 보장합니다. 선형 경로에서 벗어나려고 노력하고 장비, 기술 등을 사용자 정의하는 여러 가지 방법을 제공합니다. 새로운 역학을 소개하는 빈번한 업데이트. 가장 희귀 한 품목, 유물 및 고유를 장착하여 잠재력과 효율성을 최고 수준으로 높이십시오. 강력한 효과를 공개하고 제작하여 품목을 변경하고 장비를 더욱 최적화하십시오. 파괴의 화신이되기 위해 700 개가 넘는 노드가있는 수많은 업그레이드 경로와 거대한 스킬 트리. 당신의 파괴적인 잠재력을 사용하여 과거의 통치자 인 강력한 세라피에 도전하십시오. 새로운 발전 방법을 제공하는 특징과 패러다임 전이 변화. 커뮤니티 피드백을 마음에 가져다주는 매우 활발한 개발자. 공정한 속도로 수동적으로 얻을 수있는 프리미엄 통화."
100 Funny Cats,"🤡🎪🐾 최고의 숨은그림찾기 게임인 100개의 재미있는 고양이에 오신 것을 환영합니다! 🤣🎈 고양이로 가득한 재미있는 세상에서 가장 귀여운 모험에 참여하세요! 게임 곳곳에 숨겨진 100마리의 사랑스러운 고양이를 찾기 위한 퀘스트를 시작하면서 서커스 테마의 매력적인 손으로 그린 아트워크를 탐험하세요. 이 아늑하고 유쾌한 숨은 그림 찾기 게임에서 주의력과 관찰력을 시험해 보세요. 각 고양이는 이전보다 더 매력적이며, 발견할 때마다 얼굴에 미소가 번집니다. 🐈🕵️‍♂️ 모두 찾을 수 있나요? 🕵️‍♂️🐈 ⚙️ 주요 기능 ⚙️ 🎮 1 레벨 🐈 숨겨진 고양이 100마리 🎮 1 추가 레벨 🐈 숨겨진 고양이 100마리 추가 🎵 멋진 사운드트랙 🎨 고품질 해상도 아트웍 🌗 밝기 설정 💾 진행 상황 저장 🔍 줌 😺 실제 야옹 소리! 💥 콤보 카운터! 💡 힌트 🌐 텍스트 없음"
WEEB,Weeb는 Kiyomi를 안내하고 그녀가 새로운 친구를 컬렉션에 모으도록 도와 줄 애니메이션 클리머 게임입니다. 업그레이드 및 능력을 통해 컬렉션에 새로운 친구를 모으십시오.
Atlantica Europe,"Atlantica Europe은 Ndoors Corporation에서 개발 한 MMORPG (MMORPG)의 무료 플레이 (F2P) 3D 전술 대규모 멀티 플레이어 온라인 롤 플레잉 게임입니다. 이 게임의 주요 설정은 역사적, 문화적, 우화 적, 신화 적 요소의 다양한 조화로 구성된 판타지 테마의 대체 역사 지구입니다. 게임 세계는 주로 7 개 대륙 중 6 개 대륙의 접근 가능한 위치와 게임의 이름이 도출 된 아틀란티스의 신화적인 떠 다니는 대륙을 갖춘 실제 지리를 모델로합니다. 강력하고 마법의 문명 인 Atlantica는 자료의 생산자 인 Orikarukon입니다. 그러나 압도적 인 탐욕으로 인해 그들은 오리 하루콘의 모든 원천을 소진하고 마법의 힘에 대한 통제력을 상실했습니다. 아틀란티스는 사라졌지 만 오리 하루 콘의 잔재는 살아 남았습니다. Atlantians의 후손으로서, 당신은 세상을 발견하고 인류를 오리 하루콘의 사악한 영향으로부터 구원해야합니다. - 퀘스트와 전투에 도움을주기 위해 30 명 이상의 용병을 모으십시오! 완벽한 형성을 만드십시오! - 표준 또는 턴 기반, 상대를 전략하고 물리칩니다! - 여정을 따라 과거의 이야기에서 친숙한 NPC와 상호 작용하면 일부는 동맹국이 될 수 있습니다. 실제 대륙과 그 국가를 기반으로 한 여행 장소! - 장식하고, 상품을 보관하고, 용병을 훈련시키고, 잔치가 있습니다! 당신의 집, 당신의 규칙! - 길드 지도자가되거나 길드 그룹을 연합하여 국가의 왕이 되십시오! - 20 개 이상의 던전이 발견되고 정복되기를 기다리고 있습니다! - 당신이 원하는 테마를 입으십시오. 사실 당신은 당신의 용병들도 옷을 입을 수 있습니다! - 다른 도시를 점령하는 다른 길드들과 정복하고 임금을 받으십시오! 강한 길드 만 살아남을 것입니다! Atlantica의 출판사이자 개발자 인 Ndoors Interactive는 예를 들어 새로운 던전, 퀘스트, NPC, 기술, 용병, 의상, 장비, 마운트 및 커뮤니티 기능 등 새로운 컨텐츠 업데이트를 정기적으로 출시합니다. 이제 게임 개발 및 관리는 Valofe Global Ltd와 Valofe Operation Team의 지원을 받고 있습니다."
Viking Frontiers: Prologue,"북쪽으로 오신 것을 환영합니다. 불행한 일련의 불행한 행사가 당신을 알 수없는 해안으로 데려 왔으며, 그것을 새 집과 요새로 바꾸는 것이 당신의 임무입니다. 클랜의 잔재를 통합 할 수 있습니까? 자연의 도전을 견딜 수 있습니까? 그리고 가장 중요한 것은 Jarl이라는 명예로운 제목에 합당하다는 것을 증명할 것입니까? 당신의 사람들의 운명은 당신의 어깨에 달려 있습니다… 바이킹 프론티어는 공예, 건축, 사냥, 원정대 및 수많은 클랜 맨의 요구, 법, 활동 및 생활 조건을 포함한 더 많은 광범위한 생존 시스템 몰입 형 시뮬레이션 기능을 특징으로합니다. 분위기와 멋진 음향 효과는 새로 형성된 정착지가 많은 도전과 어려움에 직면 할 것임을 알고 있습니다. 당신은 지도자로서 가장 유리한 기회와 가장 큰 위협을 인식하는 법을 배워야합니다. 사냥꾼, 농부, 사제, 건축업자 또는 그 혼합물의 길을 따르도록 선택하든 그것은 전적으로 당신에게 달려 있습니다. 자신의 생존 방식을 발견 하고이 야생의 위험한 땅을 길게하는 유용한 기술을 숙달하십시오. 바이킹 프론티어는 RPG, 생존, 시뮬레이션 및 전략 장르의 최고의 요소를 결합하여 절대적으로 독특한 게임 경험을 제공합니다. 그렇게 선택하면 메인 스토리를 탐구하거나 게임 내 세계를 탐험하거나 사이드 퀘스트 또는 기타 좋아하는 활동에 집중할 수 있습니다. 바이킹 사가에서 바로 안개가 자욱한 이야기로 바로 뛰어 들어 다양한 재생 가능한 게임 플레이를 즐기십시오. 우리 지역 사회에 가입하여 당신의 정착지를 과시하고 다른 바이킹 프론티어 플레이어와 당신의 행동에 대한 이야기를 교환하십시오. Clan의 회원이되어 Discord Server에 가입하여 정기적으로 흥미로운 이벤트와 참여 경쟁을 주최하십시오. 항상 최신 상태를 유지하려면 소셜 미디어 채널을 따르십시오. 거기서 만나요, Jarl!"
